Country;CountryID;Continent;Gross national income per capita (PPP international $);Population (in thousands) total;Population annual growth rate (%);Population in urban areas (%);"Population living below the poverty line (% living on &lt; US$1 per day)";Population median age (years);Population proportion over 60 (%);Population proportion under 15 (%);Age-standardized mortality rate for cancer (per 100 000 population);Age-standardized mortality rate for cardiovascular diseases (per 100 000 population);Age-standardized mortality rate for injuries (per 100 000 population);Age-standardized mortality rate for non-communicable diseases (per 100 000 population);Cell_phones_per_100_people;Cell_phones_total;Infant_mortality_rate;Malnutrition_weight_for_age
Solomon Islands;166;6;1850;484;2.4;17;;20;5;40;90;409;37;786;1.3;1488;56;
Somalia;167;3;;8445;3;36;;18;4;44;143;580;235;1086;6.1;500000;91;
South Africa;168;3;8900;48282;0.7;60;10.7;24;7;32;154;410;120;808;71.6;1.95E+07;55;
Spain;169;2;28200;43887;1.1;77;;39;22;14;131;137;31;395;100;3.86E+07;4;
Sri Lanka;170;7;3730;19207;0.5;15;5.6;30;10;24;118;314;82;711;16.2;2211158;12;22.8
Sudan;171;3;1780;37707;2.2;42;;20;6;40;112;499;163;903;5.2;1048558;62;38.4
Suriname;172;5;7720;455;0.6;74;;26;9;29;133;421;86;781;51.8;212819;30;11.4
Swaziland;173;3;4700;1134;0.8;24;;19;5;39;162;364;72;732;19.4;113000;110;9.1
Sweden;174;2;34310;9078;0.4;84;;40;24;17;116;176;30;379;100.5;9302000;3;
Switzerland;175;2;40840;7455;0.4;76;;40;21;16;116;142;32;358;91.6;6275000;4;
Syria;176;1;4110;19408;2.7;51;;21;5;36;60;410;49;728;15.5;2345000;;
Taiwan;177;6;;;;;;;;;;;;;;;5;
Tajikistan;178;2;1560;6640;1.4;25;7.4;20;5;39;90;753;64;1036;4.1;47617;59;
Tanzania;179;3;980;39459;2.5;25;57.8;18;5;44;151;435;115;847;8.8;1640000;76;16.7
Thailand;180;6;7440;63444;0.7;33;2;33;12;21;129;199;74;559;48.5;2.74E+07;8;
Timor-Leste;181;6;5100;1114;4.3;27;;17;5;45;118;441;112;814;;;;
Togo;182;3;770;6410;2.7;41;;18;5;43;147;427;117;831;8.5;220000;71;23.2
Tonga;183;6;5470;100;0.5;24;;21;9;37;85;363;29;684;29.8;3354;20;
Trinidad and Tobago;184;5;16800;1328;0.4;13;;29;10;22;121;379;50;729;61.3;647870;32;4.4
Tunisia;185;1;6490;10215;1.1;66;2;27;9;25;78;417;72;685;56.3;3562970;20;
Turkey;186;2;8410;73922;1.3;68;3.4;27;8;28;95;542;42;757;59.6;3.47E+07;26;7
Turkmenistan;187;2;3990;4899;1.4;47;;24;6;31;99;844;74;1115;2.2;9187;47;
